ACCID;ACCUSERNAME;ACCPASSWORD;DATEOPEN;TOTALMONEY;DVT;CUSID;BranchID
A00000190;7425216245;Luna1987@1X82AE8RHK;2019-07-30;544374913;VND;C00000230;BR0000007
A00000191;2315693654;Micah1961@72QJ4E1B7K;2021-03-21;357215562;VND;C00000231;BR0000008
A00000192;9788644093;Willow1941@FA1WR1RQF9;2021-10-07;530379119;VND;C00000232;BR0000019
A00000193;9788906513;Jasmine1978@54PA4I8MYK;2020-03-08;82283237;VND;C00000233;BR0000019
A00000194;7376839168;Kinsley1963@MNRK8AZ5RB;2020-10-01;697919435;VND;C00000235;BR0000014
A00000195;4760866032;Justin1981@NWVL86MI10;2019-01-07;142375798;VND;C00000236;BR0000029
A00000196;9967933115;Kayla1981@1HWLTU865F;2020-01-29;284155208;VND;C00000238;BR0000018
A00000197;2127128706;Delilah1994@7R5ESMP9W8;2019-02-15;430059349;VND;C00000239;BR0000021
A00000198;6421905684;Andrea1949@7UT6EPQZLA;2018-04-25;418753228;VND;C00000240;BR0000034
A00000199;6741036839;Greyson1979@P0CCLJWG6M;2021-11-29;29621054;VND;C00000241;BR0000029
A00000200;4469591855;Natalia1981@YK3BHA1GEK;2021-06-22;857991125;VND;C00000242;BR0000004
A00000201;8424185837;Declan1974@7IK4ZI7QV6;2019-12-01;820528450;VND;C00000243;BR0000024
A00000204;6144785366;Lauren1990@FSA0KDJPKE;2018-07-30;142504138;VND;C00000246;BR0000024
A00000205;2125513434;Maxwell1977@9UBZTSOGLZ;2021-11-18;93081720;VND;C00000247;BR0000021
A00000206;5081695142;Morgan1989@8167P41EG2;2021-05-27;847951446;VND;C00000248;BR0000019
A00000207;3892335270;Rylee1999@G3KTOFWSAV;2020-08-28;956110083;VND;C00000250;BR0000011
A00000208;8593732628;Sydney1996@U1VQWM0N7F;2018-08-25;154472946;VND;C00000251;BR0000001
A00000209;1741237601;Adalynn1989@TJDOFCKTFM;2018-07-11;700419535;VND;C00000252;BR0000042
A00000210;5086836142;Mary1967@IPZNLY0XO4;2021-01-03;25890067;VND;C00000253;BR0000019
A00000211;9186776649;Cole1983@N3XDE79K31;2019-03-31;48086380;VND;C00000254;BR0000015
A00000212;4272424285;Ximena1971@2270QXXMNR;2021-08-19;141803126;VND;C00000255;BR0000001
A00000213;8826643160;Jade1983@GNESCS7X77;2019-09-29;935616590;VND;C00000256;BR0000024
A00000214;2425856103;Liliana1962@YVQLDFH8O3;2019-02-14;174734133;VND;C00000257;BR0000013
A00000215;5976672147;Carlos1986@W6W9MJ7GYP;2021-09-11;69226530;VND;C00000259;BR0000035
A00000216;6312160148;Ivy1957@SWHGYH13UM;2018-10-08;217171807;VND;C00000261;BR0000024
A00000217;3159071267;Max1965@EGZD2I7C0V;2020-07-18;971233798;VND;C00000262;BR0000021
A00000218;5927492321;Harrison1982@CQI9E39R08;2018-03-19;95150272;VND;C00000263;BR0000017
A00000219;5225524466;Weston1998@EFXSP2QQKC;2021-01-17;940844444;VND;C00000264;BR0000015
A00000220;1979969564;Trinity1953@GF8PL8ID6Y;2021-08-27;884041956;VND;C00000265;BR0000003
A00000221;7246101022;Josephine1987@TGZPKALHT4;2018-08-07;6422559;VND;C00000266;BR0000040
A00000222;6731630203;Brantley1987@XQ0CIFA6IK;2020-06-23;417352171;VND;C00000267;BR0000042
A00000223;7077966541;Adalyn2002@D5T4NMNTAZ;2020-06-26;800130603;VND;C00000268;BR0000016
A00000224;7387143622;Jocelyn1943@AH1B0FES30;2018-06-15;509179641;VND;C00000269;BR0000050
A00000225;8704437677;Braxton1967@12DJY5I7OU;2019-08-07;211656642;VND;C00000270;BR0000029
A00000226;7349579372;Adeline1964@HWV9DDJEB6;2020-01-17;176727866;VND;C00000272;BR0000029
A00000227;2477424550;Jordyn1992@MCNRM7X002;2021-07-01;489014813;VND;C00000273;BR0000001
A00000228;3285037164;Ariel1990@YYQUOAONS9;2019-11-04;799306895;VND;C00000274;BR0000004
A00000229;2122132055;Everly1938@81QN1BAVY4;2020-06-16;450984393;VND;C00000275;BR0000021
A00000230;2124792750;Axel1977@GBETMCNH66;2020-08-02;495925271;VND;C00000276;BR0000021
A00000231;6590014298;Paige1992@LTMKEX8EYI;2019-03-20;845375300;VND;C00000278;BR0000013
A00000232;1435129937;Isla1989@8FWG6T6UJX;2021-03-17;420760578;VND;C00000280;BR0000047
A00000234;5322741237;Lyla1958@RUG3OZAEH5;2018-02-14;885197368;VND;C00000282;BR0000024
A00000235;3113817297;Wesley1994@ZPG90IGR78;2021-09-18;95627845;VND;C00000284;BR0000012
A00000236;7620585335;Santiago1974@DU2XZS36Y4;2018-04-12;963505460;VND;C00000285;BR0000003
A00000237;7161794777;Jesus2000@0U70EB9BYT;2021-11-30;2958010;VND;C00000287;BR0000021
A00000238;1345992022;Silas1982@7H21LYYGID;2018-03-07;908999660;VND;C00000288;BR0000018
A00000239;3132115754;Giovanni1978@TI4U81PEF0;2019-01-30;743483063;VND;C00000289;BR0000001
A00000240;6020638838;Bryce1979@6N5S25VS15;2021-03-26;686853512;VND;C00000290;BR0000003
A00000241;5619123585;Emilia1978@FNVQVZS6A2;2018-02-23;852620627;VND;C00000292;BR0000050
A00000242;9785208111;Jayce1963@G6PYIV71W3;2018-03-20;466786339;VND;C00000293;BR0000019
A00000243;5086673149;Bryson1988@L6DKHCWCLR;2020-02-12;707672226;VND;C00000294;BR0000019
A00000244;5671228082;Alex1959@10ZGURVV2V;2018-04-26;28869275;VND;C00000295;BR0000028
A00000245;6175953809;Everett1994@K743XD9A4H;2019-07-30;437228332;VND;C00000296;BR0000019
A00000246;6178797525;Mya1944@DLQJYU91HM;2020-06-12;746437281;VND;C00000297;BR0000019
A00000248;2128924981;Kendall1977@38B9L49Y7P;2020-07-21;153707066;VND;C00000300;BR0000021
A00000249;9621976691;Eric1962@7U75V54U87;2019-08-18;885348723;VND;C00000301;BR0000015
A00000250;6178203734;Ivan1991@BCWIEBRNOF;2021-08-04;498889377;VND;C00000302;BR0000019
A00000251;6819811762;Emmett1966@IQXXZ5NHA4;2020-06-09;268005714;VND;C00000303;BR0000007
A00000252;1012814226;Melody1954@TOAAPA23N4;2021-10-24;306361871;VND;C00000304;BR0000040
A00000253;9484188278;Kaiden1958@DB2M7C4RBF;2018-09-24;4205289;VND;C00000305;BR0000029
A00000255;5472296091;Isabel1996@SP3UL01EDU;2019-08-23;600472420;VND;C00000308;BR0000017
A00000256;1895455559;Brooke1989@PSLSV6KPTL;2019-05-03;452190773;VND;C00000309;BR0000042
A00000257;7262819507;Ashton1970@3XP46UTX93;2019-11-13;219861666;VND;C00000310;BR0000043
A00000258;8863019690;Mckenzie1950@FFCQ9IUGH1;2021-11-30;22450857;VND;C00000311;BR0000041
A00000259;7934189870;Kingston1944@40WQO3H0CZ;2021-05-07;507406128;VND;C00000312;BR0000033
A00000260;9552332808;Nicole1962@PF3Y3WZG9T;2021-06-09;661886545;VND;C00000313;BR0000025
A00000261;4591668591;Jameson1987@C66S4SKR7Y;2020-06-19;720766850;VND;C00000315;BR0000001
A00000262;5853835679;Kai1975@P7XLQLZ3WV;2021-03-01;933047263;VND;C00000316;BR0000021
A00000263;7598241019;Payton1977@GNV1BXHYP5;2021-12-20;989308263;VND;C00000317;BR0000041
A00000264;3797218570;Margaret1963@28OVHHI0YK;2018-03-29;545842854;VND;C00000318;BR0000050
A00000265;4015372432;Mariah1949@L3RGI5E65V;2021-03-31;139633290;VND;C00000319;BR0000040
A00000266;9636038210;Eden1963@IQSCBY0Z90;2019-11-23;382126084;VND;C00000321;BR0000046
A00000267;1034929893;Timothy1953@6CE7SZLH8U;2018-10-07;538836392;VND;C00000322;BR0000024
A00000268;2794437776;Ezekiel1980@78Y5FILAE9;2018-02-27;571496640;VND;C00000324;BR0000022
A00000269;6978212985;Ryker1980@UK4JEW69F9;2019-09-18;171482054;VND;C00000325;BR0000022
A00000270;6613736773;Amy1987@CSVZYAQI4C;2020-09-28;601445065;VND;C00000326;BR0000001
A00000271;2125769083;Norah1938@CW4TCLM4N2;2021-01-07;613855276;VND;C00000328;BR0000021
A00000272;4519358233;Hayden1984@GIW2BGRYDO;2021-11-27;432835650;VND;C00000329;BR0000043
A00000273;6170367428;Londyn1964@QYCZWGMELU;2018-06-06;534836462;VND;C00000330;BR0000019
A00000274;2127519624;Antonio1962@EMZB0HH6TZ;2020-06-24;429750906;VND;C00000331;BR0000021
A00000275;4073432336;Bennett1998@MBVK6R5NPJ;2020-09-05;346953253;VND;C00000332;BR0000027
A00000276;2422071690;Steven1991@ZVYYRUPAO6;2019-02-04;616292335;VND;C00000333;BR0000024
A00000277;6032509108;Richard1989@4AFOU1YA8H;2021-02-17;635328557;VND;C00000334;BR0000037
A00000278;9392725637;Valeria1987@OABGJQWY7C;2018-12-11;813418670;VND;C00000335;BR0000024
A00000279;2360616362;Sara1984@MNICFHTE8T;2018-07-11;706383854;VND;C00000336;BR0000016
A00000280;5681235924;Aliyah1971@SL7H401RZS;2021-01-21;602154795;VND;C00000338;BR0000011
